Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
aardvark, 8, 5, 3, 2, e i a,0,3,2,0
aardwolf, 8, 7, 3, 2, e i a,0,3,2,0
aaron, 5, 4, 3, 2, e s a,0,3,2,0
aback, 5, 4, 7, 6, e s a t l d n,0,10,9,1
abacus, 6, 5, 6, 4, e a s w l t,0,8,6,0
abaft, 5, 4, 6, 4, e s a t p i,0,11,9,1
abalone, 7, 6, 3, 0, e a n,0,4,1,0
abandon, 7, 5, 5, 2, e i a o d,0,4,2,0
abandoned, 9, 6, 4, 1, e s d a,0,4,1,0
abandonment, 11, 8, 4, 1, e s t n,0,3,0,0
abandons, 8, 6, 5, 3, e i a s t,0,4,2,0
abase, 5, 4, 6, 3, e a g w b t,0,7,4,0
abased, 6, 5, 6, 2, e r d a b t,0,7,4,0
abasement, 9, 7, 5, 0, e s t n m,0,7,2,0
abash, 5, 4, 6, 3, e s t a h w,0,18,15,2
abashed, 7, 6, 8, 3, e r d l s t h a,0,7,4,0
abate, 5, 4, 6, 2, e a g w b t,0,3,0,0
abated, 6, 5, 6, 1, e r d a b t,0,7,4,0
abatement, 9, 6, 4, 1, e s n t,0,2,0,0
abates, 6, 5, 10, 7, e r d s l i a k z v,0,7,3,0
abattoir, 8, 6, 4, 2, e i a n,0,3,1,0
abattoirs, 9, 7, 4, 2, e i n a,0,3,1,0
abbe, 4, 3, 9, 7, e a c l i s t u z,0,13,11,3
abbess, 6, 4, 4, 1, e s a c,0,12,9,1
abbey, 5, 4, 9, 7, e s d r l n o a c,0,11,9,1
abbeys, 6, 5, 8, 5, e s r l o i a t,0,10,7,0
abbot, 5, 4, 9, 7, e s a o r l i y c,0,10,7,0
abbots, 6, 5, 8, 5, e a i o s r l y,0,10,6,0
abbreviate, 10, 7, 6, 1, e r i t a c,0,12,7,0
abbreviated, 11, 8, 8, 2, e s r d t i a c,0,12,6,0
abbreviates, 11, 8, 7, 1, e s t i r a c,0,12,6,0
abbreviating, 12, 9, 8, 1, i n g e t r a c,0,12,6,0
abbreviation, 12, 9, 8, 1, i n o t r e a c,0,12,5,0
abbreviations, 13, 10, 9, 1, i s n o t e r a c,0,12,4,0
abdicate, 8, 7, 5, 1, e a t c o,0,7,3,0
abdicated, 9, 7, 4, 1, e s d a,0,7,3,0
abdicates, 9, 8, 5, 0, e s i a t,0,7,2,0
